CODIGO,DESCRIPCIO,ACTUALIZAC
98,EVERWELL,19/12/05 14:14
96,YEE HOP,19/12/05 14:14
90,WANG TAI,19/12/05 14:14
91,CHUNG,19/12/05 14:14
99,HO YUEN,23/01/06 11:56
89,DORA,27/01/06 10:34
93,WEIFANG,27/01/06 10:49
94,TIMBAO,25/01/07 15:16
95,UNICOR,25/01/07 15:16
97,WENDY,04/07/07 15:41
92,IVON,06/07/07 11:03
10,100% CUERO,22/02/11 11:30
11,CONNIE,25/02/11 10:57
01,BADI,17/01/13 10:14
02,CHANGSHA CANASTO,03/09/14 11:13
03,FENG HUI,04/02/15 16:08
15,FENG HUI,05/02/15 15:42
04,MAIA,14/07/15 13:01
19,YVONNE,03/09/15 10:26
06,MIRA,16/09/15 14:31
07,CANASTO TERESA,17/09/15 14:25
05,LUCKY SKY,02/10/15 11:27
09,DAPHNE,02/03/16 09:47
12,JINHUA,18/05/16 10:48
60,WENZHOU,09/02/17 11:20
56,PARAGUAS,20/02/17 16:11
8,GEGE,28/06/17 12:54
9,CHANGE,28/06/17 12:54
13,YARON,24/05/18 15:02
08,MANDI,12/06/18 12:03
22,ANITA,21/01/20 11:02
23,GEGE,21/01/20 11:02
24,BIEGE,21/01/20 15:29
16,TINA,09/02/23 09:51
50,SAIMEDE,23/09/24 12:13
2,TRACY,17/02/25 16:01
6,BEN,14/03/25 15:37
20,MOONKIN,17/03/25 11:39
